2025-04-29 20:42:37,794 - INFO - Drone listening for sensors on port 5000
2025-04-29 20:42:53,835 - INFO - Sensor connected from ('127.0.0.1', 61782)
2025-04-29 20:42:53,837 - INFO - Received data: {'sensor_id': 'sensor1', 'temperature': 18.33, 'humidity': 46.65, 'timestamp': '2025-04-29T17:42:53.836839Z'}
2025-04-29 20:42:55,838 - INFO - Received data: {'sensor_id': 'sensor1', 'temperature': 18.31, 'humidity': 46.62, 'timestamp': '2025-04-29T17:42:55.837573Z'}
2025-04-29 20:42:57,805 - INFO - Forwarded to Central Server: {'sensor_id': 'sensor1', 'temperature': 18.33, 'humidity': 46.65, 'timestamp': '2025-04-29T17:42:53.836839Z'}
2025-04-29 20:42:57,806 - INFO - Forwarded to Central Server: {'sensor_id': 'sensor1', 'temperature': 18.31, 'humidity': 46.62, 'timestamp': '2025-04-29T17:42:55.837573Z'}
2025-04-29 20:42:57,839 - INFO - Received data: {'sensor_id': 'sensor1', 'temperature': 18.31, 'humidity': 46.61, 'timestamp': '2025-04-29T17:42:57.838526Z'}
2025-04-29 20:42:59,841 - INFO - Received data: {'sensor_id': 'sensor1', 'temperature': 18.3, 'humidity': 46.6, 'timestamp': '2025-04-29T17:42:59.839704Z'}
2025-04-29 20:43:01,841 - INFO - Received data: {'sensor_id': 'sensor1', 'temperature': 18.3, 'humidity': 46.59, 'timestamp': '2025-04-29T17:43:01.840992Z'}
2025-04-29 20:43:02,811 - INFO - Forwarded to Central Server: {'sensor_id': 'sensor1', 'temperature': 18.31, 'humidity': 46.61, 'timestamp': '2025-04-29T17:42:57.838526Z'}
2025-04-29 20:43:02,812 - INFO - Forwarded to Central Server: {'sensor_id': 'sensor1', 'temperature': 18.3, 'humidity': 46.6, 'timestamp': '2025-04-29T17:42:59.839704Z'}
2025-04-29 20:43:02,812 - INFO - Forwarded to Central Server: {'sensor_id': 'sensor1', 'temperature': 18.3, 'humidity': 46.59, 'timestamp': '2025-04-29T17:43:01.840992Z'}
2025-04-29 20:43:03,844 - INFO - Received data: {'sensor_id': 'sensor1', 'temperature': 18.28, 'humidity': 46.56, 'timestamp': '2025-04-29T17:43:03.844136Z'}
2025-04-29 20:43:05,845 - INFO - Received data: {'sensor_id': 'sensor1', 'temperature': 18.28, 'humidity': 46.55, 'timestamp': '2025-04-29T17:43:05.844660Z'}
