2025-05-15 21:29:47,391 - INFO - Connected to Drone at 127.0.0.1:5000
2025-05-15 21:29:47,393 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:29:47.393363Z'}
2025-05-15 21:29:49,393 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:29:49.393819Z'}
2025-05-15 21:29:51,394 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:29:51.394806Z'}
2025-05-15 21:29:53,395 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:29:53.395376Z'}
2025-05-15 21:29:55,396 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:29:55.396512Z'}
2025-05-15 21:29:57,398 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:29:57.398554Z'}
2025-05-15 21:29:59,399 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:29:59.399617Z'}
2025-05-15 21:30:01,401 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:01.401001Z'}
2025-05-15 21:30:03,403 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:03.402940Z'}
2025-05-15 21:30:05,404 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:05.403774Z'}
2025-05-15 21:30:07,405 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:07.405442Z'}
2025-05-15 21:30:09,407 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:09.407217Z'}
2025-05-15 21:30:11,413 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:11.412937Z'}
2025-05-15 21:30:13,414 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:13.414295Z'}
2025-05-15 21:30:15,415 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:15.415163Z'}
2025-05-15 21:30:17,416 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:17.416002Z'}
2025-05-15 21:30:19,417 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:19.416755Z'}
2025-05-15 21:30:21,418 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:21.418755Z'}
2025-05-15 21:30:23,419 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:23.419256Z'}
2025-05-15 21:30:25,420 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:25.420104Z'}
2025-05-15 21:30:27,421 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:27.421251Z'}
2025-05-15 21:30:29,422 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:29.422468Z'}
2025-05-15 21:30:31,423 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:31.423247Z'}
2025-05-15 21:30:33,424 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:33.424518Z'}
2025-05-15 21:30:35,426 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:35.425741Z'}
2025-05-15 21:30:37,426 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:37.426546Z'}
2025-05-15 21:30:39,427 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:39.427218Z'}
2025-05-15 21:30:41,428 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:41.428140Z'}
2025-05-15 21:30:43,429 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:43.429372Z'}
2025-05-15 21:30:45,430 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:45.430438Z'}
2025-05-15 21:30:47,432 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:47.431947Z'}
2025-05-15 21:30:49,432 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:49.432658Z'}
2025-05-15 21:30:51,433 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:51.433609Z'}
2025-05-15 21:30:53,435 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:53.435085Z'}
2025-05-15 21:30:55,436 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:55.436097Z'}
2025-05-15 21:30:57,438 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:57.438379Z'}
2025-05-15 21:30:59,441 - INFO - Sent: {'sensor_id': 'sensor4', 'temperature': 100.0, 'humidity': 95, 'timestamp': '2025-05-15T18:30:59.440927Z'}
